Date,Sales,CPI,GDP,DPI,Unemp,Interest rate
1/1/05,509901,190.7333333,12816.2,9187.533333,5.3,2.496666667
4/1/05,526701,191.9333333,12975.7,9321.833333,5.1,2.973333333
7/1/05,500105,194.5,13206.5,9472.433333,4.966666667,3.46
10/1/05,858446,196.8666667,13383.3,9625.3,4.966666667,4.026666667
1/1/06,539241,197.8666667,13649.8,9890.7,4.733333333,4.48
4/1/06,574940,198.9333333,13802.9,9981.966667,4.633333333,4.956666667
7/1/06,547786,202.3,13910.5,10082,4.633333333,5.223333333
10/1/06,986354,203.4333333,14068.4,10196.26667,4.433333333,5.213333333
1/1/07,595729,201.7,14235,10358.83333,4.5,5.223333333
4/1/07,662562,203.7556667,14424.5,10461.6,4.5,5.23
7/1/07,627323,207.6623333,14571.9,10548.06667,4.666666667,5.136666667
10/1/07,1053157,208.2353333,14690,10662.93333,4.8,4.476666667
1/1/08,665480,209.7163333,14672.9,10832.36667,5,2.956666667
4/1/08,729634,212.1003333,14817.1,11175.46667,5.333333333,2.076666667
7/1/08,616152,216.7566667,14844.3,11031.76667,6,2.073333333
10/1/08,837593,219.2776667,14546.7,10941.83333,6.866666667,0.803333333
1/1/09,517615,213.0753333,14381.2,10843.06667,8.266666667,0.216666667
4/1/09,612493,212.015,14342.1,10973.46667,9.3,0.206666667
7/1/09,598212,214.263,14384.4,10930.23333,9.633333333,0.163333333
10/1/09,981384,215.718,14564.1,11001.83333,9.933333333,0.13
1/1/10,633586,216.152,14672.5,11048.7,9.8,0.136666667
4/1/10,668760,217.0196667,14879.2,11206.4,9.633333333,0.196666667
7/1/10,681729,218.0506667,15049.8,11292.63333,9.5,0.203333333
10/1/10,1101215,218.254,15231.7,11427.13333,9.566666667,0.2
1/1/11,761018,218.8976667,15242.9,11653.93333,9.033333333,0.183333333
4/1/11,872712,221.6663333,15461.9,11748.6,9.066666667,0.12
7/1/11,821767,225.5306667,15611.8,11862.03333,9,0.093333333
10/1/11,1187440,226.452,15818.7,11884.83333,8.633333333,0.096666667
1/1/12,819170,226.1076667,16041.6,12085.73333,8.233333333,0.113333333
4/1/12,886569,227.9066667,16160.4,12171.83333,8.2,0.133333333
7/1/12,852741,229.7926667,16356,12205.13333,8.033333333,0.133333333
10/1/12,1235769,230.2966667,16420.3,12520.36667,7.833333333,0.136666667
1/1/13,895484,230.3796667,16535.3,12296.86667,7.7,0.113333333
